SHIPMENT_NUMBER,SHIPPER_ID,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST
SEZHUK-240112-281848,bad2a1c4-4cf3-4157-864f-ce161784831f,CAUK000629,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,HU14 3HJ,53.462845,-2.896967,53.720887,-0.534769,2024-01-16T03:00:00.000Z,2024-01-16T03:01:00.000Z,2024-01-16T07:55:00.000Z,2024-01-16T08:25:00.000Z
SEZHUK-240103-278879,9ee7906d-9c8f-4405-97f8-c7532926fd0f,CAUK001024,3.5T Van,LWB Van,CO4 9QJ,CM22 7FD,51.920887,0.927015,51.869555,0.216885,2024-01-19T18:15:00.000Z,2024-01-19T19:15:00.000Z,2024-01-19T20:15:00.000Z,2024-01-19T21:15:00.000Z
SEZHUK-240112-281835,5c22fd8b-0496-422d-a31b-597c50cc8bc3,CAUK000068,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,CM2 5AE,53.437595,-1.070426,51.748381,0.519226,2024-01-16T16:00:00.000Z,2024-01-16T16:59:00.000Z,2024-01-17T09:55:00.000Z,2024-01-17T10:25:00.000Z
SEZHUK-231228-277226,9ee7906d-9c8f-4405-97f8-c7532926fd0f,CAUK001022,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470809,-0.514738,51.508022,-0.05711,2024-01-10T05:45:00.000Z,2024-01-10T06:45:00.000Z,2024-01-10T08:15:00.000Z,2024-01-10T09:15:00.000Z
SEZHUK-240110-280665,518e364c-41d3-4cd1-8cd6-0401d20abb27,CAUK001069,Tractor Unit,Temperature-Controlled,DN15,EN9 3BZ,53.618497,-0.665484,51.678414,-0.006624,2024-01-20T20:30:00.000Z,2024-01-20T21:30:00.000Z,2024-01-21T02:30:00.000Z,2024-01-21T03:30:00.000Z
SEZHUK-240109-280425,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000603,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,PO3 5JT,52.649535,-1.216071,50.833409,-1.059121,2024-01-11T06:00:00.000Z,2024-01-16T06:30:00.000Z,2024-01-11T20:30:00.000Z,2024-01-16T21:00:00.000Z
SEZHUK-240115-282314,e19e9bf3-fad9-4795-8489-1f89296f40dd,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,SK16 4UG,LE19 1WY,53.467889,-2.096702,52.601576,-1.18816,2024-01-16T10:00:00.000Z,2024-01-16T10:30:00.000Z,2024-01-16T16:30:00.000Z,2024-01-16T17:00:00.000Z
SEZHUK-240115-282108,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,BH15 3BN,53.324964,-2.758291,50.736054,-1.988087,2024-01-16T07:30:00.000Z,2024-01-16T14:00:00.000Z,2024-01-17T11:32:00.000Z,2024-01-17T12:00:00.000Z
SEZHUK-240115-282063,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000603,Tractor Unit,Curtain-Side 13.6M Trailer,GY2 4JN,LE3 8DX,49.481982,-2.543209,52.648951,-1.2175,2024-01-16T06:00:00.000Z,2024-01-19T06:30:00.000Z,2024-01-16T20:30:00.000Z,2024-01-19T21:00:00.000Z
SEZHUK-240116-282655,e19e9bf3-fad9-4795-8489-1f89296f40dd,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,OL15 8QF,LE19 1WY,53.634051,-2.1142,52.601576,-1.18816,2024-01-17T10:00:00.000Z,2024-01-17T10:30:00.000Z,2024-01-17T16:30:00.000Z,2024-01-17T17:00:00.000Z
SEZHUK-240111-281480,433732b1-4db6-4969-985d-710c0033eeb4,CAUK000912,3.5T Van,Box,S35 2PW,LE3 8DX,53.476537,-1.471065,52.641456,-1.216005,2024-01-15T00:30:00.000Z,2024-01-15T01:00:00.000Z,2024-01-15T03:00:00.000Z,2024-01-15T03:30:00.000Z
SEZHUK-240111-281455,433732b1-4db6-4969-985d-710c0033eeb4,CAUK000901,3.5T Van,Box,S35 2PW,LU5 4TP,53.476537,-1.471065,51.897307,-0.50593,2024-01-19T00:30:00.000Z,2024-01-19T01:00:00.000Z,2024-01-19T04:00:00.000Z,2024-01-19T04:30:00.000Z
SEZHUK-240109-280468,3244246f-e37c-4ba4-b9b3-61416a4449ae,CAUK001000,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,LU5 4RZ,53.293393,-1.074008,51.893945,-0.518006,2024-01-11T07:00:00.000Z,2024-01-11T07:59:00.000Z,2024-01-11T13:55:00.000Z,2024-01-11T14:25:00.000Z
SEZHUK-240113-281913,eb7a9df0-4875-43d8-9060-c79c35eae2fb,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-14T01:20:00.000Z,2024-01-14T03:00:00.000Z,2024-01-14T07:51:00.000Z,2024-01-14T10:46:00.000Z
SEZHUK-240112-281531,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000037,Tractor Unit,Curtain-Side 13.6M Trailer,DG16 5HT,DG1 1SE,55.003467,-3.042858,55.084356,-3.596693,2024-01-15T06:00:00.000Z,2024-01-15T15:00:00.000Z,2024-01-16T08:00:00.000Z,2024-01-16T15:59:00.000Z
SEZHUK-240115-282135,192cd5b5-978c-4681-b206-2f4d04e081ec,CAUK000122,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PA4 8DJ,52.800481,-1.663328,55.873398,-4.404767,2024-01-16T12:00:00.000Z,2024-01-17T06:00:00.000Z,2024-01-17T06:00:00.000Z,2024-01-17T06:30:00.000Z
SEZHUK-240112-281860,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000899,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,WV13 2JP,53.295391,-1.066283,52.579178,-2.058159,2024-01-17T10:30:00.000Z,2024-01-17T11:25:00.000Z,2024-01-17T16:10:00.000Z,2024-01-17T17:30:00.000Z
SEZHUK-240114-281986,eb7a9df0-4875-43d8-9060-c79c35eae2fb,CAUK000390,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-16T16:20:00.000Z,2024-01-16T18:00:00.000Z,2024-01-17T05:00:00.000Z,2024-01-17T07:56:00.000Z
SEZHUK-240110-280658,518e364c-41d3-4cd1-8cd6-0401d20abb27,CAUK001069,Tractor Unit,Temperature-Controlled,PE10 0AT,EN9 3BZ,52.768719,-0.35975,51.678414,-0.006624,2024-01-15T08:30:00.000Z,2024-01-15T09:30:00.000Z,2024-01-15T12:00:00.000Z,2024-01-15T13:00:00.000Z
SEZHUK-240114-281996,eb7a9df0-4875-43d8-9060-c79c35eae2fb,CAUK000814,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.764125,-1.740145,51.398851,-1.231993,2024-01-16T14:20:00.000Z,2024-01-16T16:00:00.000Z,2024-01-17T06:00:00.000Z,2024-01-17T08:56:00.000Z
SEZHUK-240115-282230,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-16T06:17:00.000Z,2024-01-16T07:17:00.000Z,2024-01-16T12:45:00.000Z,2024-01-16T13:15:00.000Z
SEZHUK-240117-282902,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,DA2 6QL,53.295391,-1.066283,51.453485,0.256436,2024-01-19T13:00:00.000Z,2024-01-19T13:56:00.000Z,2024-01-19T19:55:00.000Z,2024-01-19T21:17:00.000Z
SEZHUK-240111-281171,bad2a1c4-4cf3-4157-864f-ce161784831f,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,MK42 6EY,53.462845,-2.896967,52.093182,-0.475758,2024-01-12T06:00:00.000Z,2024-01-12T06:01:00.000Z,2024-01-15T03:25:00.000Z,2024-01-15T03:55:00.000Z
SEZHUK-240111-281074,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000257,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,ML5 4RW,53.324964,-2.758291,55.854774,-4.01629,2024-01-12T07:30:00.000Z,2024-01-12T14:00:00.000Z,2024-01-15T09:32:00.000Z,2024-01-15T10:00:00.000Z
SEZHUK-240105-279427,433732b1-4db6-4969-985d-710c0033eeb4,CAUK000912,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.765877,-1.742019,52.641456,-1.216005,2024-01-11T00:30:00.000Z,2024-01-11T01:00:00.000Z,2024-01-12T02:30:00.000Z,2024-01-12T03:00:00.000Z
SEZHUK-240117-282693,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,CT16 3FH,53.324964,-2.758291,51.152789,1.304127,2024-01-18T08:00:00.000Z,2024-01-18T14:00:00.000Z,2024-01-19T10:47:00.000Z,2024-01-19T11:15:00.000Z
SEZHUK-240118-283336,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000032,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,TN21 8XG,53.566639,-0.919839,50.984912,0.314268,2024-01-19T06:00:00.000Z,2024-01-19T16:00:00.000Z,2024-01-22T08:00:00.000Z,2024-01-22T15:59:00.000Z
SEZHUK-240115-282061,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000603,Tractor Unit,Curtain-Side 13.6M Trailer,JE2 3ND,LE3 8DX,49.205063,-2.109092,52.648951,-1.2175,2024-01-16T06:00:00.000Z,2024-01-19T06:30:00.000Z,2024-01-16T20:30:00.000Z,2024-01-19T21:00:00.000Z
SEZHUK-240117-283025,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000224,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,RM19 1ND,53.295391,-1.066283,51.480755,0.261461,2024-01-19T17:00:00.000Z,2024-01-19T17:56:00.000Z,2024-01-20T07:55:00.000Z,2024-01-20T09:17:00.000Z
SEZHUK-240117-282673,40415fe3-e446-4d1e-b141-3698b0dc47f3,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,SS17 9DY,NG31 7UH,51.510091,0.459598,52.888113,-0.634948,2024-01-18T09:00:00.000Z,2024-01-18T09:30:00.000Z,2024-01-18T13:30:00.000Z,2024-01-18T14:00:00.000Z
SEZHUK-240109-280424,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000603,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,GY2 4JN,52.648951,-1.2175,49.481982,-2.543209,2024-01-11T06:00:00.000Z,2024-01-16T06:30:00.000Z,2024-01-11T20:30:00.000Z,2024-01-16T21:00:00.000Z
SEZHUK-240112-281748,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK001047,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-13T04:15:00.000Z,2024-01-13T05:15:00.000Z,2024-01-13T10:45:00.000Z,2024-01-13T11:15:00.000Z
SEZHUK-231228-277243,66a23663-0195-46f2-a5e4-da256bcba47b,CAUK000204,3.5T Van,LWB Van,TS17 9NT,DE74 2TR,54.5232,-1.287738,52.829374,-1.332134,2024-01-10T17:50:00.000Z,2024-01-10T18:50:00.000Z,2024-01-10T21:30:00.000Z,2024-01-10T22:30:00.000Z
SEZHUK-240111-281197,369b3981-6399-439f-a654-7e90a2493c35,CAUK000932,Tractor Unit,Curtain-Side 13.6M Trailer,DN3 3FG,L11 0JA,53.537133,-1.037405,53.464178,-2.895312,2024-01-15T06:00:00.000Z,2024-01-15T18:00:00.000Z,2024-01-16T07:32:00.000Z,2024-01-16T08:00:00.000Z
SEZHUK-240110-280736,20dad921-61e2-4367-8d8c-c264f5b3e9d9,CAUK000064,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-12T08:00:00.000Z,2024-01-12T08:30:00.000Z,2024-01-15T07:00:00.000Z,2024-01-15T07:30:00.000Z
SEZHUK-240102-278266,433732b1-4db6-4969-985d-710c0033eeb4,CAUK000901,3.5T Van,Box,S35 2PW,OX26 4SS,53.476537,-1.471065,51.880152,-1.126155,2024-01-10T23:45:00.000Z,2024-01-10T23:59:24.000Z,2024-01-11T03:00:00.000Z,2024-01-11T03:30:00.000Z
SEZHUK-240115-282288,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000979,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EH54 8TB,53.295391,-1.066283,55.902768,-3.581976,2024-01-17T06:00:00.000Z,2024-01-17T06:56:00.000Z,2024-01-17T14:55:00.000Z,2024-01-17T16:17:00.000Z
SEZHUK-240110-280812,3244246f-e37c-4ba4-b9b3-61416a4449ae,CAUK000224,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NN4 9BB,53.293393,-1.074008,52.219429,-0.945841,2024-01-12T06:00:00.000Z,2024-01-12T13:15:00.000Z,2024-01-12T12:55:00.000Z,2024-01-12T13:25:00.000Z
SEZHUK-240105-279540,39a4e234-5d35-4d94-8e8a-b8bf6fe13953,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,CV23,G75 0ZZ,52.404024,-1.241116,55.736183,-4.167971,2024-01-18T16:00:00.000Z,2024-01-18T17:00:00.000Z,2024-01-18T23:00:00.000Z,2024-01-18T23:59:00.000Z
SEZHUK-240110-280747,20dad921-61e2-4367-8d8c-c264f5b3e9d9,CAUK000064,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-12T08:00:00.000Z,2024-01-12T08:30:00.000Z,2024-01-15T13:00:00.000Z,2024-01-15T13:30:00.000Z
SEZHUK-240116-282451,761f4ba9-6b78-46bf-a925-28366e334228,CAUK000940,Tractor Unit,Box,S18 1PF,HP2 7PZ,53.304842,-1.482042,51.769105,-0.432735,2024-01-19T09:00:00.000Z,2024-01-19T09:30:00.000Z,2024-01-19T15:30:00.000Z,2024-01-19T16:00:00.000Z
SEZHUK-240115-282181,7369cda1-1d0c-42c5-be31-cf18efe77ddb,CAUK000115,Tractor Unit,Curtain-Side 13.6M Trailer,LS10 1SL,CH62 4TG,53.771668,-1.514934,53.346913,-2.988986,2024-01-16T17:00:00.000Z,2024-01-16T17:30:00.000Z,2024-01-16T21:30:00.000Z,2024-01-16T22:00:00.000Z
SEZHUK-240114-281947,5c22fd8b-0496-422d-a31b-597c50cc8bc3,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,EH48 2FB,53.437595,-1.070426,55.877803,-3.648558,2024-01-16T13:00:00.000Z,2024-01-16T13:59:00.000Z,2024-01-17T10:55:00.000Z,2024-01-17T11:25:00.000Z
SEZHUK-240109-280303,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000190,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,CR6 9DZ,53.566639,-0.919839,51.304958,-0.035905,2024-01-10T06:00:00.000Z,2024-01-10T18:00:00.000Z,2024-01-11T08:00:00.000Z,2024-01-11T15:59:00.000Z
SEZHUK-240117-282826,5456fcfa-5b0c-428e-b322-240d508b6660,CAUK000991,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,EH54 8QX,52.315672,-0.157664,55.896335,-3.53565,2024-01-18T15:00:00.000Z,2024-01-18T15:56:00.000Z,2024-01-19T07:30:00.000Z,2024-01-19T08:00:00.000Z
SEZHUK-240112-281651,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000979,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,DA1 5PR,53.295391,-1.066283,51.455653,0.242699,2024-01-14T19:00:00.000Z,2024-01-14T19:54:00.000Z,2024-01-15T13:55:00.000Z,2024-01-15T15:13:00.000Z
SEZHUK-240109-280508,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK001047,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10T19:32:00.000Z,2024-01-10T20:32:00.000Z,2024-01-11T02:00:00.000Z,2024-01-11T02:30:00.000Z
SEZHUK-240110-280749,20dad921-61e2-4367-8d8c-c264f5b3e9d9,CAUK000064,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-15T08:00:00.000Z,2024-01-15T08:30:00.000Z,2024-01-16T07:00:00.000Z,2024-01-16T07:30:00.000Z
SEZHUK-240117-282836,bad2a1c4-4cf3-4157-864f-ce161784831f,CAUK001011,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,SS14 3WF,53.462845,-2.896967,51.588475,0.466827,2024-01-18T12:00:00.000Z,2024-01-18T12:01:00.000Z,2024-01-19T09:55:00.000Z,2024-01-19T10:25:00.000Z
SEZHUK-240116-282363,3371b762-7c32-44f3-a14e-bfb0a6f3d50b,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,SM1 4RF,53.324964,-2.758291,51.36122,-0.191105,2024-01-17T07:30:00.000Z,2024-01-17T14:00:00.000Z,2024-01-18T10:32:00.000Z,2024-01-18T11:00:00.000Z
SEZHUK-240109-280292,3244246f-e37c-4ba4-b9b3-61416a4449ae,CAUK000770,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NN4 9BB,53.293393,-1.074008,52.219429,-0.945841,2024-01-10T09:00:00.000Z,2024-01-10T15:15:00.000Z,2024-01-10T15:00:00.000Z,2024-01-10T15:30:00.000Z
SEZHUK-240115-282053,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000603,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,JE2 3ND,52.648951,-1.2175,49.205063,-2.109092,2024-01-16T06:00:00.000Z,2024-01-19T06:30:00.000Z,2024-01-16T20:30:00.000Z,2024-01-19T21:00:00.000Z
SEZHUK-240111-281292,3244246f-e37c-4ba4-b9b3-61416a4449ae,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,N18 3BB,53.293393,-1.074008,51.614473,-0.042472,2024-01-12T23:00:00.000Z,2024-01-12T23:59:00.000Z,2024-01-15T08:55:00.000Z,2024-01-15T09:25:00.000Z
SEZHUK-240116-282600,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK000023,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17T18:00:00.000Z,2024-01-17T19:00:00.000Z,2024-01-18T02:00:00.000Z,2024-01-18T03:00:00.000Z
SEZHUK-240110-280759,7369cda1-1d0c-42c5-be31-cf18efe77ddb,CAUK000230,Tractor Unit,Curtain-Side 13.6M Trailer,LS11 5LX,LL13 9UT,53.767204,-1.547784,53.048227,-2.914069,2024-01-11T15:00:00.000Z,2024-01-11T15:30:00.000Z,2024-01-11T18:30:00.000Z,2024-01-11T19:00:00.000Z
SEZHUK-240111-281396,433732b1-4db6-4969-985d-710c0033eeb4,CAUK000901,3.5T Van,Box,S35 2PW,DA1 1JQ,53.476537,-1.471065,51.433342,0.221489,2024-01-19T23:45:00.000Z,2024-01-19T23:59:24.000Z,2024-01-20T04:00:00.000Z,2024-01-20T04:30:00.000Z
SEZHUK-240115-282305,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000979,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EN11 0EZ,53.295391,-1.066283,51.766224,0.009545,2024-01-17T23:00:00.000Z,2024-01-17T23:51:00.000Z,2024-01-18T06:55:00.000Z,2024-01-18T08:07:00.000Z
SEZHUK-240112-281842,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000899,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NN6 7TZ,53.295391,-1.066283,52.35193,-1.144734,2024-01-17T04:00:00.000Z,2024-01-17T05:00:00.000Z,2024-01-17T07:55:00.000Z,2024-01-17T09:17:00.000Z
SEZHUK-240113-281912,ee7cbc7b-4f14-44ac-9c6e-086d70a27141,CAUK000872,Tractor Unit,Box,DN3 3FF,BT36 4PX,53.537912,-1.03357,54.671797,-6.000939,2024-01-18T20:00:00.000Z,2024-01-18T23:00:00.000Z,2024-01-20T13:00:00.000Z,2024-01-20T14:00:00.000Z
SEZHUK-240103-278824,66a23663-0195-46f2-a5e4-da256bcba47b,CAUK001009,3.5T Van,LWB Van,WR4 0SZ,DE74 2TR,52.193636,-2.221575,52.829374,-1.332134,2024-01-15T17:00:00.000Z,2024-01-15T18:00:00.000Z,2024-01-15T19:30:00.000Z,2024-01-15T20:30:00.000Z
SEZHUK-240109-280526,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK001048,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10T15:00:00.000Z,2024-01-10T16:00:00.000Z,2024-01-11T21:30:00.000Z,2024-01-11T22:00:00.000Z
SEZHUK-240105-279733,518e364c-41d3-4cd1-8cd6-0401d20abb27,CAUK001069,Tractor Unit,Temperature-Controlled,PE11 2BB,EN9 3BZ,52.802649,-0.133151,51.678414,-0.006624,2024-01-10T01:30:00.000Z,2024-01-10T02:30:00.000Z,2024-01-10T05:30:00.000Z,2024-01-10T06:30:00.000Z
SEZHUK-240111-281293,9e78d49e-043c-4f19-af07-a116101abe0b,CAUK000295,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EH54 8QX,53.295391,-1.066283,55.896335,-3.53565,2024-01-12T12:00:00.000Z,2024-01-12T12:56:00.000Z,2024-01-13T04:55:00.000Z,2024-01-13T06:17:00.000Z
SEZHUK-240112-281749,2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,CAUK001047,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-13T14:30:00.000Z,2024-01-13T15:30:00.000Z,2024-01-13T21:00:00.000Z,2024-01-13T21:30:00.000Z
SEZHUK-240117-282675,40415fe3-e446-4d1e-b141-3698b0dc47f3,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,ME6 5PX,IG11 0DS,51.32487,0.446613,51.515717,0.100453,2024-01-18T09:00:00.000Z,2024-01-18T09:30:00.000Z,2024-01-18T13:30:00.000Z,2024-01-18T14:00:00.000Z
